Model,Stripe,Threshold,MCC,Coefs,Median Threshold,Median MCC
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'bmm__6')",1+2,0.81,0.5483191821567548,[[ 3.8767853  11.11735042 -2.70482823  8.655744  ]],0.79,0.542320438907336
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'bmm__6')",4+6+7,0.7,0.20970722987592513,[[ 1.0020174  -1.32423209  2.11377028 -6.25573354]],0.7,0.20970722987592513
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'brk__6')",3,0.7,0.18941733822983609,[[-0.73081005  6.25247221 -0.09719754 -2.22477248]],0.7,0.18941733822983609
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'brk__6')",5,0.7,0.1355723850853999,[[-0.20471001 -1.00954859 -5.33285637 -0.98708327]],0.7,0.1355723850853999
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'brk__6')",1+2,0.85,0.4697284425065885,[[1.43321014 6.19018881 0.89128122 1.37545829]],0.79,0.46194668576621456
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'brk__6')",4+6+7,0.7,0.17178361629108085,[[ 2.76037536 -0.97594161  0.94134727  2.14233724]],0.7,0.17178361629108085
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'bun__6')",3,0.71,0.1515634114675104,[[0.12677507 7.2202776  0.21100814 1.99664419]],0.7,0.15068488701563768
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'bun__6')",5,0.72,0.1754372742146472,[[-0.01162931 -0.31602252 -6.62091756  3.15949346]],0.7,0.16967727637912652
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'bun__6')",1+2,0.86,0.5078530924567396,[[ 0.40318164  6.1522975  -0.29778013  2.45953752]],0.79,0.49345643675678225
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'bun__6')",4+6+7,0.72,0.1849479069685912,[[ 1.75765939 -0.92489609  0.64111646 -1.24576575]],0.7,0.1730076595122885
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'cad__6')",3,0.7,0.18789788201645516,[[ 0.29281758  5.9207263   0.89417936 -3.01182818]],0.7,0.18789788201645516
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'cad__6')",5,0.7,0.1484933991361414,[[ 0.09821559 -1.13724746 -4.1700613  -4.59035076]],0.7,0.1484933991361414
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'cad__6')",1+2,0.79,0.4768064182410908,[[0.7956643  6.11009682 0.3508497  1.31049582]],0.79,0.4768064182410908
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'cad__6')",4+6+7,0.71,0.31351490884928546,[[ 1.74182458 -0.81740886 -0.27581754  2.12685882]],0.7,0.3031518957110037
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'cenG1A__6')",3,0.7,0.16541397954536205,[[ 0.87063748  6.48663462  0.67088924 -5.73091736]],0.7,0.16541397954536205
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'cenG1A__6')",5,0.71,0.12681171987214307,[[ 0.6370592  -1.0572987  -5.03667255 -6.64111327]],0.7,0.12607594108691136
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'cenG1A__6')",1+2,0.86,0.4637355690854241,[[0.61592463 6.35076389 0.53398376 2.19760029]],0.79,0.4616524198270064
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'cenG1A__6')",4+6+7,0.7,0.26057897445377964,[[  2.66412281  -1.18237495   0.92946886 -10.74473538]],0.7,0.26057897445377964
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'cnc__6')",3,0.7,0.2258503281816213,[[-0.42422465  7.47021957  1.11512778 -9.56207937]],0.7,0.2258503281816213
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'cnc__6')",5,0.71,0.15650333369277925,[[-0.33574165 -0.45423423 -4.86522205 -6.9488935 ]],0.7,0.15496631862630528
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'cnc__6')",1+2,0.75,0.4706391969538824,[[0.77447993 6.14913935 0.47744901 0.61070808]],0.79,0.46951091461093497
